[01,01], {00040}, Bags
[01,02], {00050}, Socks
[01,03], {00050}, Socks
[01,04], {00050}, Socks
[01,05], {00050}, Socks
[01,06], {00050}, Socks
[01,07], {00100}, Dog
[01,08], {00100}, Dog
[01,09], {00100}, Dog
[01,10], {00100}, Dog
[01,11], {00100}, Dog
[01,12], {00100}, Dog
[02,01], {00050}, Socks
[02,02], {00050}, Socks
[02,03], {00050}, Socks
[02,04], {00050}, Socks
[02,05], {00050}, Socks
[02,06], {00050}, Socks
[02,07], {00100}, Dog
[02,08], {00100}, Dog
[02,09], {00100}, Dog
[02,10], {00100}, Dog
[02,11], {00100}, Dog
[02,12], {00100}, Dog
[03,01], {00050}, Socks
[03,02], {00050}, Socks
[03,03], {00050}, Socks
[03,04], {00050}, Socks
[03,05], {00050}, Socks
[03,06], {00050}, Socks
[03,07], {00100}, Dog
[03,08], {00100}, Dog
[03,09], {00100}, Dog
[03,10], {00100}, Dog
[03,11], {00100}, Dog
[03,12], {00100}, Dog
[04,01], {00050}, Socks
[04,02], {00050}, Socks
[04,03], {00050}, Socks
[04,04], {00050}, Socks
[04,05], {00050}, Socks
[04,06], {00050}, Socks
[04,07], {00100}, Dog
[04,08], {00100}, Dog
[04,09], {00100}, Dog
[04,10], {00100}, Dog
[04,11], {00100}, Dog
[04,12], {00100}, Dog
[05,01], {00050}, Socks
[05,02], {00050}, Socks
[05,03], {00050}, Socks
[05,04], {00050}, Socks
[05,05], {00050}, Socks
[05,06], {00050}, Socks
[05,07], {00100}, Dog
[05,08], {00100}, Dog
[05,09], {00100}, Dog
[05,10], {00100}, Dog
[05,11], {00100}, Dog
[05,12], {00100}, Dog
[06,01], {00050}, Socks
[06,02], {00050}, Socks
[06,03], {00050}, Socks
[06,04], {00050}, Socks
[06,05], {00050}, Socks
[06,06], {00050}, Socks
[06,07], {00100}, Dog
[06,08], {00100}, Dog
[06,09], {00100}, Dog
[06,10], {00100}, Dog
[06,11], {00100}, Dog
[06,12], {00100}, Dog
[07,01], {00050}, Socks
[07,02], {00050}, Socks
[07,03], {00050}, Socks
[07,04], {00050}, Socks
[07,05], {00050}, Socks
[07,06], {00050}, Socks
[07,07], {00100}, Dog
[07,08], {00100}, Dog
[07,09], {00100}, Dog
[07,10], {00100}, Dog
[07,11], {00100}, Dog
[07,12], {00100}, Dog
[08,01], {00050}, Socks
[08,02], {00050}, Socks
[08,03], {00050}, Socks
[08,04], {00050}, Socks
[08,05], {00050}, Socks
[08,06], {00050}, Socks
[08,07], {00100}, Dog
[08,08], {00100}, Dog
[08,09], {00100}, Dog
[08,10], {00100}, Dog
[08,11], {00100}, Dog
[08,12], {00100}, Dog
